site;fire_class;drt_treatment;site_type;land_type;plotID;gps_loc;species;plantID;loggerID;date_in;date_out;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_vm_2;;Vaccinium_myrtillus;0;95221047;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_vv_2;;Vaccinium_vitis-idaea;0;95221048;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_cv_2;;Calluna_vulgaris;0;95221049;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_en_1;;Empetrum_nigrum;0;95221050;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_cv_5;;Calluna_vulgaris;0;95221053;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_en_3;;Empetrum_nigrum;0;95221054;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;1,1;;Control;1;95221055;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_vv_3;;Vaccinium_vitis-idaea;0;95221056;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_vm_1;;Vaccinium_myrtillus;0;95221057;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_cv_3;;Calluna_vulgaris;0;95221058;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_cv_5;;Calluna_vulgaris;0;95221059;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_en_5;;Empetrum_nigrum;0;95221060;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_en_5;;Empetrum_nigrum;0;95221105;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_en_2;;Empetrum_nigrum;0;95221106;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_vm_1;;Vaccinium_myrtillus;0;95221107;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_vm_1;;Vaccinium_myrtillus;0;95221108;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_cv_2;;Calluna_vulgaris;0;95221110;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_vv_2;;Vaccinium_vitis-idaea;0;95221112;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_en_4;;Empetrum_nigrum;0;95221114;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_cv_4;;Calluna_vulgaris;0;95221116;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_vv_1;;Vaccinium_vitis-idaea;0;95221117;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_cv_3;;Calluna_vulgaris;0;95221118;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_vm_4;;Vaccinium_myrtillus;0;95221119;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_vv_1;;Vaccinium_vitis-idaea;0;95221120;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_en_3;;Empetrum_nigrum;0;95221121;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_vm_2;;Vaccinium_myrtillus;0;95221122;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_vm_3;;Vaccinium_myrtillus;0;95221123;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_cv_1;;Calluna_vulgaris;0;95221124;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
